participant,age,sex,question1,aid,attention,comments,customStyles,description
64,34,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
35,28,Male,4,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
97,25,Male,7,"No, I did not use any aid","No, I was able to concentrate",It was amazing to test how bad my memory is ;),NA,NA
3,25,Male,8,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
7,31,Male,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
24,25,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
38,33,Female,5,"No, I did not use any aid","No, I was able to concentrate",No it was a fun yet challenging experiment ,NA,NA
27,28,Female,3,"No, I did not use any aid","No, I was able to concentrate",it was interesting ,NA,NA
89,28,Female,4,"No, I did not use any aid","No, I was able to concentrate",it was fun,NA,NA
80,26,Male,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
62,27,Female,3,"No, I did not use any aid","No, I was able to concentrate",Lovely study. I absolutely enjoyed.,NA,NA
46,27,Male,9,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
75,29,Female,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
81,32,Male,6,"No, I did not use any aid","No, I was able to concentrate",No comment,NA,NA
49,29,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
33,32,Male,9,"No, I did not use any aid","No, I was able to concentrate",It was very difficult to remember the colours. I tried to say things like 'green fan' but it would get overwhelming at number 3 and 4 in the remember task and I would usually forget.,NA,NA
22,22,Male,2,"No, I did not use any aid","No, I was able to concentrate","I did not know or recognise some objects, so it would help to label them so that I know what exactly am I comparing",NA,NA
5,29,Female,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
4,31,Female,5,"No, I did not use any aid","No, I was able to concentrate",It was hard but fun,NA,NA
9,28,Male,7,"No, I did not use any aid","No, I was able to concentrate",Interesting experiment!,NA,NA
25,24,Female,5,"No, I did not use any aid","No, I was able to concentrate",no,NA,NA
94,28,Male,8,"No, I did not use any aid","No, I was able to concentrate","Changes the white background because after staring at the screen for a long times, causing my eyes to unable to find my mouse pointer which is in white color. Or maybe its a bug ?",NA,NA
76,19,Male,7,"No, I did not use any aid","No, I was able to concentrate",I think it's hard to tell what some of the icons are since you have to react quickly.,NA,NA
54,30,Male,8,"No, I did not use any aid","Yes, I was distracted by something","You did your best, I just have Asperger's syndrome + ADHD",NA,NA
65,32,Male,8,"No, I did not use any aid","No, I was able to concentrate",NO,NA,NA
99,28,Male,4,"No, I did not use any aid","No, I was able to concentrate",none,NA,NA
95,35,Male,7,"No, I did not use any aid","No, I was able to concentrate",last part of experiment was hard to remember if there is any way to facilitate it but if this your goal that  is ok i do the best ,NA,NA
55,34,Male,6,"No, I did not use any aid","No, I was able to concentrate","No, there were no issues, everything was pretty straight forward, thank you for the opportunity to participate in this experiment!",NA,NA
8,20,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
96,33,Female,8,"No, I did not use any aid","No, I was able to concentrate","This experiment is very interesting.  I could easily choose the objects which is larger in size; however, i struggled to remember the color of the objects while focusing on the objects to determine which one is bigger in real life at the same time.  Before this test, i am confident that i am good at memorizing things, but i realize that my memory is not that good with the time pressure and it is difficult for me to focus two or more tasks at the same time.  Thank you for your experiment.  it was great  ",NA,NA
1,29,Male,8,"No, I did not use any aid","No, I was able to concentrate",Was great ,NA,NA
6,34,Male,9,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
98,23,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
52,31,Male,8,"No, I did not use any aid","No, I was able to concentrate",No suggestions,NA,NA
31,31,Female,7,"Yes, I did","No, I was able to concentrate",No,NA,NA
45,31,Male,7,"No, I did not use any aid","No, I was able to concentrate","This experiment was interesting. Identifying which object was larger proved fairly easy. However, recalling which color corresponded with which object was challenging. ",NA,NA
41,29,Female,7,"No, I did not use any aid","No, I was able to concentrate",Can you please increase the seconds in the speed tasks.,NA,NA
91,25,Female,9,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
57,21,Female,8,"No, I did not use any aid","No, I was able to concentrate",N/A,NA,NA
30,28,Male,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
60,27,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
74,23,Female,2,"No, I did not use any aid","No, I was able to concentrate",No,NA,NA
90,26,Male,3,"No, I did not use any aid","No, I was able to concentrate",None,NA,NA
88,25,Male,9,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
84,20,Female,6,"No, I did not use any aid","No, I was able to concentrate",No,NA,NA
67,33,Female,6,"No, I did not use any aid","No, I was able to concentrate",The time given is not enough.,NA,NA
70,22,Male,9,"No, I did not use any aid","No, I was able to concentrate",explain in a more clear way about having to recall the item in its exact colour ,NA,NA
20,31,Female,7,"No, I did not use any aid","No, I was able to concentrate",no,NA,NA
56,30,Male,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
